,0,1,2,3,4,5
103,AA plc,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=GB00BMSKPJ95&m=1048528&c=5643915,AA.,09/06/2016,Annual,United Kingdom
104,AA plc,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=GB00BMSKPJ95&m=1129492&c=5643915,AA.,08/06/2017,Annual,United Kingdom
105,AA plc,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=GB00BMSKPJ95&m=1228578&c=5643915,AA.,07/06/2018,Annual,United Kingdom
106,AAC Technologies Holdings Inc.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=G2953R114&m=876769&c=355082,02018,23/05/2014,Annual,Hong Kong
107,AAC Technologies Holdings Inc.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=KYG2953R1149&m=967171&c=5643915,02018,18/05/2015,Annual,Cayman Islands
108,AAC Technologies Holdings Inc.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=KYG2953R1149&m=1054867&c=5643915,2018,30/05/2016,Annual,Cayman Islands
109,AAC Technologies Holdings Inc.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=KYG2953R1149&m=1140114&c=5643915,2018,24/05/2017,Annual,Cayman Islands
110,AAC Technologies Holdings Inc.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=KYG2953R1149&m=1230189&c=5643915,2018,28/05/2018,Annual,Cayman Islands
111,AAK AB,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=SE0001493776&m=939673&c=5643915,AAK,05/05/2015,Annual,Sweden
112,AAK AB,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=SE0001493776&m=1023739&c=5643915,AAK,11/05/2016,Annual,Sweden
113,AAK AB,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=SE0001493776&m=1111977&c=5643915,AAK,17/05/2017,Annual,Sweden
114,AAK AB,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=SE0001493776&m=1231817&c=5643915,AAK,30/05/2018,Annual,Sweden
115,Aalberts Industries,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=N00089271&m=850302&c=355082,AALB,22/04/2014,Annual,Netherlands
116,Aalberts Industries,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=NL0000852564&m=913530&c=5643915,AALB,21/04/2015,Annual,Netherlands
117,Aalberts Industries,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=NL0000852564&m=996975&c=5643915,AALB,19/04/2016,Annual,Netherlands
118,Aalberts Industries,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=NL0000852564&m=1100058&c=5643915,AALB,18/04/2017,Annual,Netherlands
119,Aalberts Industries,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=NL0000852564&m=1166290&c=5643915,AALB,18/04/2018,Annual,Netherlands
120,aamra networks limited,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=BD0649ANL001&m=1181503&c=5719582,AAMRANET,21/12/2017,Annual,Bangladesh
121,"AAON, Inc.",https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=000360206&m=866748&c=355082,AAON,20/05/2014,Annual,USA
122,"AAON, Inc.",https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=000360206&m=962739&c=5646452,AAON,19/05/2015,Annual,USA
123,"AAON, Inc.",https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=000360206&m=1050210&c=5646452,AAON,24/05/2016,Annual,USA
124,"AAON, Inc.",https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=000360206&m=1133554&c=5646452,AAON,16/05/2017,Annual,USA
125,"AAON, Inc.",https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=000360206&m=1220884&c=5646452,AAON,15/05/2018,Annual,USA
126,AAR CORP.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=000361105&m=826795&c=355082,AIR,09/10/2013,Annual,USA
127,AAR CORP.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=000361105&m=916360&c=355082,AIR,08/10/2014,Annual,USA
128,AAR CORP.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=000361105&m=1000028&c=5646452,AIR,13/10/2015,Annual,USA
129,AAR CORP.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=000361105&m=1086948&c=5646452,AIR,11/10/2016,Annual,USA
130,AAR Corp.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=000361105&m=1172268&c=5646452,AIR,11/10/2017,Annual,USA
131,AAR Corp.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=000361105&m=1264379&c=5646452,AIR,10/10/2018,Annual,USA
132,Aareal Bank AG,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=D00379111&m=851635&c=5165828,ARL,21/05/2014,Annual,Germany
133,Aareal Bank AG,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=DE0005408116&m=942069&c=5643915,ARL,20/05/2015,Annual,Germany
134,Aareal Bank AG,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=DE0005408116&m=1029712&c=5643915,ARL,25/05/2016,Annual,Germany
135,Aareal Bank AG,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=DE0005408116&m=1121175&c=5643915,ARL,31/05/2017,Annual,Germany
136,Aareal Bank AG,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=DE0005408116&m=1202799&c=5643915,ARL,23/05/2018,Annual,Germany
137,Aarhuskarlshamn AB,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=W9609T107&m=851538&c=355082,AAK,08/05/2014,Annual,Sweden
138,"Aaron's, Inc.",https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=002535300&m=888276&c=355082,AAN,10/06/2014,Annual,USA
139,"Aaron's, Inc.",https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=002535300&m=963273&c=5646452,AAN,06/05/2015,Annual,USA
140,"Aaron's, Inc.",https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=002535300&m=1047433&c=5646452,AAN,04/05/2016,Annual,USA
141,"Aaron's, Inc.",https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=002535300&m=1125717&c=5646452,AAN,02/05/2017,Annual,USA
142,"Aaron's, Inc.",https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=002535300&m=1219472&c=5646452,AAN,09/05/2018,Annual,USA
143,AB Grigeo Grigiskes,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=LT0000102030&m=1049299&c=5741879,GRG1L,29/04/2016,Annual,Lithuania
144,AB Grigeo Grigiskes,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=LT0000102030&m=1132457&c=5741879,GRG1L,25/04/2017,Annual,Lithuania
145,AB S.A.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=X0006U101&m=928163&c=5489518,ABE,05/12/2014,Annual,Poland
146,AB Sagax,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=SE0001629288&m=939867&c=5643915,SAGA A,07/05/2015,Annual,Sweden
147,AB Sagax,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=SE0001629288&m=1025163&c=5643915,SAGA A,03/05/2016,Annual,Sweden
148,AB Sagax,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=SE0001629288&m=1088365&c=5643915,SAGA A,07/10/2016,Special,Sweden
149,AB Sagax,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=SE0001629288&m=1113068&c=5643915,SAGA A,04/05/2017,Annual,Sweden
