;0;1;2;3;4;5
400;Acerinox S.A.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=E0060D145&m=883203&c=355082;ACX;09/06/2014;Annual;Spain
401;Acerinox S.A.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=ES0132105018&m=972421&c=5643915;ACX;02/06/2015;Annual;Spain
402;Acerinox S.A.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=ES0132105018&m=1063106&c=5643915;ACX;08/06/2016;Annual;Spain
403;Acerinox S.A.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=ES0132105018&m=1145983&c=5643915;ACX;31/05/2017;Annual;Spain
404;Acerinox S.A.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=ES0132105018&m=1222363&c=5643915;ACX;09/05/2018;Annual;Spain
405;Aces Electronic Co., Ltd.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=Y0008B100&m=865862&c=355082;3605;26/06/2014;Annual;Taiwan
406;Aces Electronic Co., Ltd.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=Y0008B100&m=912548&c=355082;3605;24/09/2014;Special;Taiwan
407;Aces Electronic Co., Ltd.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=TW0003605002&m=958650&c=5643915;3605;30/06/2015;Annual;Taiwan
408;Aces Electronic Co., Ltd.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=TW0003605002&m=1044024&c=5643915;3605;28/06/2016;Annual;Taiwan
409;Aces Electronic Co., Ltd.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=TW0003605002&m=1130983&c=5643915;3605;22/06/2017;Annual;Taiwan
410;Aces Electronic Co., Ltd.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=TW0003605002&m=1219545&c=5643915;3605;26/06/2018;Annual;Taiwan
411;Achilles Corp.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=J00084103&m=901644&c=355082;5142;27/06/2014;Annual;Japan
412;Achilles Corp.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=JP3108000005&m=984438&c=5643915;5142;26/06/2015;Annual;Japan
413;Achilles Corp.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=JP3108000005&m=1072019&c=5643915;5142;29/06/2016;Annual;Japan
414;Achilles Corp.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=JP3108000005&m=1156933&c=5643915;5142;29/06/2017;Annual;Japan
415;Achilles Corp.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=JP3108000005&m=1246727&c=5643915;5142;28/06/2018;Annual;Japan
416;Achillion Pharmaceuticals, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=00448Q201&m=968721&c=5646452;ACHN;02/06/2015;Annual;USA
417;Achillion Pharmaceuticals, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=00448Q201&m=1054593&c=5646452;ACHN;25/05/2016;Annual;USA
418;Achillion Pharmaceuticals, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=00448Q201&m=1139907&c=5646452;ACHN;23/05/2017;Annual;USA
419;Achillion Pharmaceuticals, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=00448Q201&m=1230626&c=5646452;ACHN;31/05/2018;Annual;USA
420;ACI Worldwide, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=004498101&m=883470&c=355082;ACIW;18/06/2014;Annual;USA
421;ACI Worldwide, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=004498101&m=971995&c=5646452;ACIW;08/06/2015;Annual;USA
422;ACI Worldwide, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=004498101&m=1060403&c=5646452;ACIW;14/06/2016;Annual;USA
423;ACI Worldwide, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=004498101&m=1145011&c=5646452;ACIW;14/06/2017;Annual;USA
